#Menlo Systems GmbH 2009 - Comb Watch v0.9.6
#Measurement from 6.4.2021.
#Begin of the measurement: 15:47:28, 56848 sec after midnight.
#Add 804430048 to get the time since 0:00 of 10th Oct. 1995 = MJD 50000 in seconds.
#
#C0:	timestamp
#C1:	reprate.freq	The actual repetition rate of the comb (calculated from counter0)	Hz
#C2:	offset.freq	Offset beat frequency (see counter1)	Hz	20000000	10
#C3:	counter2.signal	Signal strength of counter channel 2 input	V
#C4:	counter3.freq	Counter channel 3 frequency	Hz
#
#S0:	4
#Statistics settings
#S1:	250334155.75	0.005
#S2:	20000000	10
#S3:	#
#S4:	#
#
#timestamp	#reprate.freq	#offset.freq	#counter2.signal	#counter3.freq
0	250334155.7495	19999999.07	0.264893	515669.004000008
0.998402118682861	250334155.75	20000000.021	0.263672	514730.017999947
1.99680399894714	250334155.7495	20000000.188	0.264893	516483.982000053
2.99520611763	250334155.7505	20000000.956	0.262451	514782.027999997
3.99360704421997	250334155.7495	19999999.1010001	0.265503	516261.991999984
4.99200916290283	250334155.7495	20000000.3479999	0.263672	515797.996999979
6.00601100921631	250334155.75075	20000000.686	0.263672	515154.02000004
7.00441312789917	250334155.74975	19999999.7410001	0.264282	516325.986999989
8.00281405448914	250334155.75025	19999998.755	0.263062	514995.976000011
9.001216173172	250334155.74975	20000000.735	0.263062	515367.004999995
9.99961805343628	250334155.751	19999999.872	0.264282	516155.004000008
10.9980201721191	250334155.74925	20000000.106	0.263062	514322.014999986
11.9964210987091	250334155.7495	19999999.508	0.263062	514305.993999958
12.994823217392	250334155.75025	20000000.557	0.263062	514090.97300005
13.9932250976563	250334155.7505	19999999.317	0.263672	514933.034999967
14.9916272163391	250334155.74925	20000000.0669999	0.263062	513981.969000041
16.0056290626526	250334155.75075	20000001.9020001	0.261841	515326.020999968
17.0040299892426	250334155.74975	19999999.3429999	0.261841	512746.984000027
18.0024321079254	250334155.74925	19999999.628	0.261841	514374.023999989
19.0008339881897	250334155.75125	19999999.118	0.264282	513933.976999998
19.9992361068726	250334155.75	20000000.539	0.26062	513302.022000015
20.9976370334625	250334155.7505	20000001.226	0.26062	514046.97299999
21.9960391521454	250334155.748	19999999.489	0.261231	512214.021999955
22.9944410324097	250334155.751	19999999.802	0.261841	513850.977000058
23.9928431510925	250334155.7505	19999999.15	0.26001	513285.048999965
24.9912440776825	250334155.75	20000000.433	0.261841	512794.928000033
26.0052461624146	250334155.74925	20000000.403	0.261231	513780.042999983
27.0036480426788	250334155.75075	19999999.02	0.26062	512767.001999974
28.0020501613617	250334155.74975	20000000.16	0.263062	512909.01700002
29.0004510879517	250334155.74925	20000000.643	0.261841	513205.957000017
29.9988532066345	250334155.75075	19999997.926	0.261841	512432.024999976
30.9972550868988	250334155.74975	20000001.991	0.261231	513299.990000009
31.9956572055817	250334155.75025	19999998.748	0.261841	514358.986999989
32.9940581321716	250334155.75	20000000.717	0.26062	513004.018999994
33.9924600124359	250334155.74925	20000000.308	0.26001	510930.003000021
35.006462097168	250334155.75025	19999999.433	0.261231	512098.967000008
36.0048642158508	250334155.75025	20000000.145	0.26001	511520.037
37.0032651424408	250334155.7505	20000000.143	0.2594	510871.023999989
38.0016670227051	250334155.74975	19999999.688	0.26062	511134.966000021
39.0000691413879	250334155.75	20000001.203	0.2594	510621.006999969
39.9984710216522	250334155.75	19999999.847	0.2594	510798.009000003
40.9968721866608	250334155.749	19999999.417	0.258789	510736.967000008
41.995274066925	250334155.75075	19999999.767	0.2594	508143.042999983
42.9936761856079	250334155.75	20000000.706	0.258179	509322.990000009
43.9920780658722	250334155.74925	19999999.692	0.258179	509396.984000027
45.0060791969299	250334155.7505	20000000.7440001	0.261231	508126.996999979
46.0044810771942	250334155.75025	19999998.971	0.2594	507695.986999989
47.0028831958771	250334155.74925	20000000.949	0.258179	509754.032000005
48.0012850761414	250334155.751	19999999.484	0.258179	508500.990999997
48.9996860027313	250334155.75	19999999.707	0.261231	509854.004999995
49.9980881214142	250334155.75	20000000.816	0.258789	507938.990999997
50.9964900016785	250334155.75	19999999.974	0.2594	510138.971000016
51.9948921203613	250334155.74875	19999999.34	0.258789	509304.038999975
52.9932940006256	250334155.75025	19999999.818	0.26001	508344.978000045
53.9916951656342	250334155.7515	20000000.0470001	0.258179	509731.001999974
55.0056970119476	250334155.75	20000000.114	0.26062	510776.989000022
56.0040991306305	250334155.74825	20000000.27	0.26062	511857.032999992
57.0025010108948	250334155.75	19999999.7440001	0.258179	509069.965999961
58.0009021759033	250334155.75125	19999999.9449999	0.263062	510490.029000044
58.9993040561676	250334155.749	20000000.107	0.258789	510465.973999977
59.9977061748505	250334155.75075	20000000.411	0.258789	509603.995000005
60.9961080551147	250334155.7505	19999999.207	0.2594	511246.024999976
61.9945092201233	250334155.74975	20000000.456	0.258789	511855.001000047
62.9929111003876	250334155.74975	20000000.3870001	0.26001	509740.021999955
64.0069131851196	250334155.7495	20000000.5239999	0.257568	510984.962000012
65.0053150653839	250334155.75025	19999998.1440001	0.257568	511531.023999989
66.0037159919739	250334155.75025	19999999.939	0.258789	509699.003000021
67.0021181106567	250334155.75075	19999999.957	0.2594	509930.013999999
68.000519990921	250334155.7495	20000001.37	0.2594	509827.957000017
68.9989221096039	250334155.75	19999999.2819999	0.2594	511480.007999957
69.9973230361938	250334155.75	20000001.5320001	0.258789	510329.040000022
70.9957251548767	250334155.749	19999998.0319999	0.26062	508739.981999993
71.994127035141	250334155.7505	20000000.279	0.2594	509818.949999988
72.9925291538239	250334155.75075	20000000.509	0.258789	508831.041999996
