Generated by TimeView III
Date:;Tue Apr 20 15:48:32 2021Instrument:;PENDULUM, CNT-91, 232653, V1.28 25 Aug 2010 11:52
Data:;Frequency BtB

0; 250000000.338501;
1.000007462629; 250000000.342747;
2.00001492534; 250000000.322248;
3.000022387963; 250000000.344247;
4.000029842666; 250000000.324248;
5.00003730521; 250000000.363997;
6.00004476788; 250000000.332498;
7.000052222721; 250000000.289748;
8.000059685257; 250000000.365997;
9.000067147867; 250000000.347497;
10.000074610605; 250000000.315498;
11.000082065319; 250000000.321498;
12.000089527828; 250000000.372747;
13.000096990605; 250000000.305748;
14.000104453359; 250000000.311498;
15.000111916014; 250000000.336248;
16.000119378651; 250000000.340747;
17.000126841206; 250000000.361247;
18.000134295786; 250000000.354997;
19.00014175856; 250000000.306498;
20.000149221369; 250000000.297748;
21.000156683744; 250000000.406247;
22.00016414648; 250000000.315998;
23.000171609162; 250000000.329498;
24.000179072004; 250000000.289498;
25.000186534527; 250000000.369247;
26.000193997222; 250000000.326248;
27.000201459983; 250000000.309748;
28.000208922487; 250000000.373997;
29.000216385285; 250000000.300498;
30.000223847903; 250000000.345497;
31.000231310514; 250000000.347247;
32.000238773245; 250000000.317248;
33.000246227981; 250000000.315998;
34.00025369046; 250000000.380247;
35.000261153177; 250000000.320748;
36.000268615804; 250000000.343247;
37.000276078404; 250000000.349997;
38.000283541097; 250000000.326748;
39.000291003863; 250000000.308498;
40.000298466422; 250000000.360247;
41.000305921315; 250000000.276748;
42.000313383863; 250000000.362997;
43.000320854447; 250000000.353997;
44.000328317107; 250000000.334998;
45.000335779914; 250000000.298248;
46.000343234429; 250000000.371247;
47.000350697168; 250000000.315248;
48.000358159764; 250000000.350997;
49.000365622356; 250000000.351997;
50.000373085085; 250000000.317748;
51.000380547848; 250000000.309248;
52.000388010441; 250000000.351747;
53.000395473154; 250000000.321748;
54.000402935677; 250000000.369247;
55.000410398386; 250000000.322748;
56.000417861131; 250000000.313748;
57.000425331717; 250000000.353497;
58.000432794454; 250000000.315748;
59.00044025721; 250000000.310998;
60.00044771982; 250000000.347497;
61.000455182462; 250000000.339497;
62.000462645046; 250000000.353997;
63.000470107653; 250000000.348247;
64.000477570551; 250000000.275498;
65.000485033027; 250000000.380997;
66.000492503797; 250000000.307498;
67.000499966427; 250000000.342497;
68.000507429074; 250000000.338248;
69.000514891664; 250000000.352497;
70.000522362359; 250000000.326248;
71.000529825038; 250000000.330248;
72.000537287721; 250000000.329248;
73.000544750403; 250000000.329498;
74.000552213008; 250000000.348747;
75.000559675722; 250000000.321498;
76.000567138281; 250000000.360247;
77.000574601115; 250000000.291498;
78.00058205564; 250000000.368747;
79.000589518396; 250000000.310998;
80.000596980986; 250000000.352497;
81.000604443523; 250000000.365747;
82.000611906362; 250000000.290248;
83.000619369041; 250000000.330248;
84.00062683173; 250000000.327748;
85.000634294283; 250000000.361747;
86.000641756936; 250000000.336748;
87.000649219541; 250000000.348747;
88.000656690295; 250000000.311498;
89.000664152874; 250000000.355247;
90.000671615659; 250000000.303748;
91.000679078382; 250000000.319248;
92.000686541023; 250000000.339747;
93.00069401177; 250000000.313248;
94.000701474386; 250000000.345997;
95.000708936961; 250000000.356247;
96.00071639955; 250000000.352747;
97.000723870241; 250000000.327248;
98.000731332936; 250000000.326248;
99.000738795449; 250000000.371747;
100.000746258323; 250000000.281498;
101.000753721041; 250000000.320498;
102.000761183682; 250000000.339747;
103.000768646261; 250000000.355247;
104.000776116979; 250000000.320498;
105.000783579545; 250000000.358497;
106.000791042142; 250000000.350747;
107.000798504929; 250000000.303248;
108.000805967611; 250000000.329498;
109.000813430331; 250000000.319998;
110.000820892848; 250000000.370747;
111.000828355513; 250000000.333748;
112.0008358182; 250000000.328248;
113.000843280932; 250000000.316998;
114.000850751554; 250000000.344497;
115.000858214272; 250000000.320498;
116.000865676818; 250000000.363497;
117.000873139475; 250000000.335748;
118.000880602139; 250000000.333997;
119.000888064852; 250000000.321748;
120.000895535393; 250000000.364747;
121.000902998054; 250000000.334747;
122.000910460732; 250000000.330498;
123.000917931569; 250000000.290748;
124.000925394101; 250000000.366997;
125.000932856808; 250000000.323248;
126.000940319582; 250000000.306498;
127.000947790241; 250000000.335247;
128.000955252844; 250000000.349247;
129.000962723537; 250000000.326748;
130.000970186068; 250000000.367247;
131.00097764871; 250000000.339497;
132.000985119415; 250000000.323748;
133.000992582079; 250000000.333997;
134.001000052706; 250000000.343247;
135.001007515431; 250000000.318748;
136.001014978163; 250000000.316998;
137.001022448779; 250000000.345997;
138.001029911388; 250000000.347747;
139.001037382064; 250000000.330998;
140.00104484468; 250000000.345997;
141.001052307325; 250000000.338747;
142.001059778104; 250000000.305248;
143.001067240823; 250000000.320248;
144.001074703419; 250000000.350997;
145.001082173974; 250000000.361247;
146.001089636753; 250000000.305248;
147.001097107544; 250000000.302248;
148.001104570004; 250000000.384997;
149.001112032808; 250000000.298998;
150.001119503437; 250000000.342747;
151.001126966068; 250000000.342247;
152.001134428633; 250000000.358747;
153.001141899259; 250000000.343497;
154.0011493621; 250000000.289748;
155.001156824728; 250000000.342997;
156.001164295402; 250000000.331497;
157.001171758072; 250000000.332498;
158.001179220696; 250000000.343997;
159.001186683414; 250000000.320498;
160.001194153992; 250000000.355497;
161.001201616597; 250000000.348747;
162.001209079363; 250000000.308498;
163.001216541906; 250000000.364247;
164.001224004582; 250000000.330998;
165.001231467392; 250000000.297498;
166.001238938013; 250000000.344747;
167.001246400696; 250000000.329248;
168.001253863459; 250000000.309248;
169.001261325977; 250000000.370497;
