Generated by TimeView III
Date:;Tue Apr 20 14:52:22 2021Instrument:;PENDULUM, CNT-91, 232653, V1.28 25 Aug 2010 11:52
Data:;Frequency BtB

0; 250000000.355034;
0.100000791847; 250000000.382497;
0.200001575565; 250000000.704994;
0.30000235929; 250000000.687495;
0.400003143138; 250000000.379997;
0.500003926932; 250000000.514996;
0.600004710947; 249999999.9625;
0.700005502833; 250000000.284998;
0.80000628663; 250000000.507496;
0.900007070526; 250000000.259998;
1.00000785446; 250000000.164999;
1.100008638324; 250000000.339997;
1.200009422185; 250000000.347497;
1.300010214043; 250000000.354997;
1.400010997923; 250000000.299998;
1.500011781806; 250000000.292498;
1.600012565575; 250000000.577495;
1.700013349508; 250000000.167499;
1.800014133406; 250000000.254998;
1.900014925136; 250000000.674995;
2.000015709178; 249999999.895001;
2.100016493078; 250000000.249998;
2.200017276909; 250000000.422497;
2.300018060818; 250000000.227498;
2.40001884468; 250000000.344997;
2.500019636429; 250000000.627495;
2.60002042053; 249999999.747502;
2.70002120427; 250000000.649995;
2.800021988123; 250000000.367497;
2.900022772014; 250000000.272498;
3.000023555857; 250000000.392497;
3.100024347765; 250000000.229998;
3.200025131639; 250000000.314998;
3.300025915492; 250000000.367497;
3.400026699381; 250000000.277498;
3.500027483375; 250000000.015;
3.600028267194; 250000000.452496;
3.700029059072; 250000000.304998;
3.800029842925; 250000000.367497;
3.90003062677; 250000000.387497;
4.000031410656; 250000000.284998;
4.100032194571; 250000000.212498;
4.200032978488; 250000000.207498;
4.300033770364; 250000000.309998;
4.400034554178; 250000000.464996;
4.500035338043; 250000000.337497;
4.60003612197; 250000000.182499;
4.70003690581; 250000000.399997;
4.800037697718; 250000000.229998;
4.900038481578; 250000000.349997;
5.000039265446; 250000000.329997;
5.100040049289; 250000000.392497;
5.200040833205; 250000000.209998;
5.300041617025; 250000000.449997;
5.400042408997; 250000000.069999;
5.500043192645; 250000000.879993;
5.60004397666; 249999999.9625;
5.700044760673; 249999999.9675;
5.800045544434; 250000000.597495;
5.900046336193; 250000000.602495;
6.000047120219; 249999999.935001;
6.100047904105; 250000000.284998;
6.200048687854; 250000000.627495;
6.300049471865; 249999999.9725;
6.40005025563; 250000000.587495;
6.500051047609; 250000000.0525;
6.600051831386; 250000000.557496;
6.700052615309; 250000000.192499;
6.800053399269; 250000000.099999;
6.900054182992; 250000000.692495;
7.000054967; 249999999.98;
7.100055758795; 250000000.512496;
7.20005654265; 250000000.362497;
7.300057326569; 250000000.202498;
7.4000581104; 250000000.422497;
7.500058894293; 250000000.267498;
7.600059678248; 250000000.112499;
7.70006047; 250000000.619995;
7.800061253868; 250000000.329997;
7.900062037787; 250000000.202498;
8.000062821624; 250000000.407497;
8.100063605529; 250000000.237498;
8.200064389454; 250000000.187499;
8.300065181329; 250000000.312498;
8.400065965136; 250000000.482496;
8.500066749125; 250000000.0275;
8.600067532987; 250000000.344997;
8.700068316794; 250000000.482496;
8.800069100712; 250000000.204998;
8.900069884525; 250000000.467496;
9.000070676441; 250000000.209998;
9.100071460327; 250000000.284998;
9.200072244186; 250000000.352497;
9.30007302812; 250000000.164999;
9.400073811851; 250000000.672495;
9.500074595854; 249999999.9925;
9.600075379727; 250000000.317498;
9.700076171584; 250000000.357497;
9.8000769555; 250000000.209998;
9.900077739381; 250000000.297498;
10.000078523138; 250000000.607495;
10.10007930709; 250000000.119999;
10.200080090932; 250000000.394997;
10.300080874899; 250000000.082499;
10.400081658738; 250000000.402497;
10.50008245051; 250000000.569995;
10.60008323448; 250000000.074999;
10.700084018336; 250000000.359997;
10.800084802098; 250000000.594995;
10.900085586029; 250000000.172499;
11.000086369982; 250000000.117499;
11.100087153868; 250000000.284998;
11.200087937714; 250000000.384997;
11.300088729636; 250000000.194998;
11.400089513497; 250000000.347497;
11.500090297395; 250000000.254998;
11.600091081254; 250000000.352497;
11.700091865; 250000000.634995;
11.800092649052; 249999999.870001;
11.900093432823; 250000000.572496;
12.000094216648; 250000000.437497;
12.100095000602; 250000000.114999;
12.200095792408; 250000000.484996;
12.30009657629; 250000000.294998;
12.400097360164; 250000000.314998;
12.500098144116; 250000000.119999;
12.600098927887; 250000000.572496;
12.700099711963; 249999999.810001;
12.80010049569; 250000000.682495;
12.900101279617; 250000000.182499;
13.00010206343; 250000000.467496;
13.100102847413; 250000000.0425;
13.200103639254; 250000000.397497;
13.300104423065; 250000000.472496;
13.400105206916; 250000000.372497;
13.500105990875; 250000000.102499;
13.600106774717; 250000000.394997;
13.70010755854; 250000000.442497;
13.800108342459; 250000000.202498;
13.900109126295; 250000000.409997;
14.000109910273; 250000000.055;
14.10011069408; 250000000.482496;
14.200111485865; 250000000.537496;
14.3001122698; 250000000.162499;
14.400113053788; 250000000.03;
14.500113837591; 250000000.492496;
14.600114621511; 250000000.199998;
14.700115405328; 250000000.457496;
14.800116189342; 249999999.965;
14.900116973018; 250000000.809994;
15.000117756976; 250000000.104999;
15.100118540875; 250000000.252498;
15.200119324616; 250000000.647495;
15.300120116411; 250000000.512496;
15.400120900383; 250000000.069999;
15.500121684379; 250000000.01;
15.600122468156; 250000000.557496;
15.700123252098; 250000000.144999;
15.800124035846; 250000000.629995;
15.900124819781; 250000000.162499;
16.000125603649; 250000000.329997;
16.100126387595; 250000000.134999;
16.200127171475; 250000000.299998;
16.300127955383; 250000000.229998;
16.400128739289; 250000000.234998;
16.500129531056; 250000000.582495;
16.600130314936; 250000000.299998;
16.700131098797; 250000000.347497;
16.800131882672; 250000000.312498;
16.900132666539; 250000000.332497;
