#Menlo Systems GmbH 2009 - Comb Watch v0.9.6
#Measurement from 23.3.2021.
#Begin of the measurement: 15:26:02, 55562 sec after midnight.
#Add 803219162 to get the time since 0:00 of 10th Oct. 1995 = MJD 50000 in seconds.
#
#C0:	timestamp
#C1:	reprate.freq	The actual repetition rate of the comb (calculated from counter0)	Hz
#C2:	offset.freq	Offset beat frequency (see counter1)	Hz	20000000	10
#C3:	counter2.freq	Counter channel 2 frequency	Hz
#
#S0:	4
#Statistics settings
#S1:	250405940	0.005
#S2:	20000000	10
#S3:	#
#
#timestamp	#reprate.freq	#offset.freq	#counter2.freq
0	250405940.00075	19999999.6229999	41961999.361
0.998402118682861	250405939.99975	19999999.8890001	41991161.533
1.99680399894714	250405939.9995	20000000.4449999	42022574.539
2.99520611763	250405940.00125	20000000.529	42058310.198
3.99360704421997	250405939.998	19999999.232	42099521.581
4.99200892448425	250405940.0015	20000000.25	42146809.482
5.99041104316711	250405940.0005	19999999.485	42197048.253
6.9888129234314	250405939.99925	20000000.184	42247905.528
7.98721408843994	250405940	20000000.716	42293245.4679999
9.00121593475342	250405939.9995	19999999.36	42338608.53
9.99961805343628	250405939.99975	20000001.442	42382192.562
10.9980199337006	250405940.00025	19999999.416	42424801.3740001
11.9964210987091	250405940.00025	19999999.598	42458180.0639999
12.9948229789734	250405940.00075	19999999.618	42481925.6620001
13.9932250976563	250405939.999	19999999.636	42500326.781
14.9916269779205	250405940.0015	19999999.773	42515081.818
15.9900290966034	250405939.99925	20000000.26	42522524.5270001
16.9884300231934	250405939.9985	20000000.705	42523021.7859999
17.9868319034576	250405939.99975	19999999.997	42521611.814
19.0008339881897	250405940.001	20000000.664	42517238.755
19.9992361068726	250405939.99975	19999999.504	42511587.183
20.9976370334625	250405940	19999999.884	42507212.006
21.9960389137268	250405940.00075	19999999.611	42505429.373
22.9944410324097	250405939.99975	20000001.512	42502168.529
23.992842912674	250405939.99975	19999998.231	42493477.269
24.9912440776825	250405940.00075	20000000.22	42479227.917
25.9896459579468	250405939.99925	20000000.396	42459720.419
26.9880480766296	250405940.00075	20000000.442	42442127.803
27.9864499568939	250405939.99975	19999999.017	42428647.602
29.0004510879517	250405940.00025	20000000.2080001	42418205.903
29.9988529682159	250405940	19999999.6289999	42414875.314
30.9972550868988	250405939.99925	20000000.649	42417178.4590001
31.9956569671631	250405940.00025	19999999.92	42428425.197
32.9940581321716	250405940	20000000.59	42443016.665
33.9924600124359	250405940	19999999.199	42456031.285
34.9908621311188	250405940.00025	19999999.518	42462313.437
35.9892640113831	250405939.9995	20000002.314	42458019.794
36.987664937973	250405939.99975	19999997.7709999	42435311.1049999
38.0016670227051	250405940.0005	20000000.594	42398870.049
39.0000689029694	250405939.99975	19999999.2750001	42346479.4150001
39.9984710216522	250405940	20000000.206	42286575.676
40.9968719482422	250405940.00075	20000000.507	42222668.724
41.995274066925	250405939.99975	20000000.029	42156619.495
42.9936759471893	250405939.99975	19999999.323	42095859.396
43.9920780658722	250405940	19999999.6190001	42039841.41
44.9904789924622	250405940	20000001.663	41995568.523
45.988881111145	250405940.0005	19999999.768	41964711.604
46.9872829914093	250405940	19999998.767	41940831.543
48.0012850761414	250405939.999	20000000.7689999	41916773.5
48.9996860027313	250405940.0005	20000001.6370001	41889280.757
49.9980881214142	250405939.99975	19999999.046	41853529.092
50.9964900016785	250405940.00025	20000000.1309999	41808509.602
51.9948921203613	250405939.9995	19999999.669	41754862.993
52.9932940006256	250405940.0005	19999999.551	41704142.74
53.9916949272156	250405939.99975	20000000.656	41655806.311
54.9900970458984	250405939.99975	19999998.14	41616405.81
55.9884989261627	250405940.00025	20000002.1440001	41582054.384
56.9869010448456	250405939.99975	19999999.566	41551296.148
58.0009019374847	250405940.00075	19999999.336	41521659.876
58.9993040561676	250405939.99975	20000000.595	41492388.971
59.9977059364319	250405939.99925	20000000.557	41458177.904
60.9961080551147	250405940.001	19999998.244	41421278.257
61.9945089817047	250405939.9995	20000001.01	41382787.5979999
62.9929111003876	250405940.00075	19999999.899	41343859.819
63.9913129806519	250405939.99875	20000000.411	41301988.1350001
64.9897150993347	250405940.00025	19999999.86	41259446.8559999
65.9881160259247	250405940.00075	20000000.137	41215339.75
67.0021181106567	250405940	20000000.021	41166265.351
68.000519990921	250405939.99975	19999998.455	41112160.8310001
68.9989221096039	250405939.9995	20000000.785	41045875.459
69.9973230361938	250405940.0005	20000000.8279999	40972082.417
70.9957249164581	250405940.0005	19999999.206	40887948.797
71.994127035141	250405939.999	20000000.275	40797885.895
72.9925289154053	250405940	19999999.899	40708635.272
73.9909300804138	250405940.00075	20000000.142	40624826.536
74.9893319606781	250405940.00025	20000000.633	40538362.113
75.987734079361	250405939.99925	19999999.381	40449355.369
77.0017359256744	250405940.00025	19999999.64	40349825.243
78.000137090683	250405939.99975	20000001.057	40242376.372
78.9985389709473	250405939.99975	19999999.236	40130961.165
79.9969410896301	250405940.00075	20000000.11	40018217.695
80.9953429698944	250405940.001	19999999.7460001	39909249.907
81.993744134903	250405939.9995	20000000.596	39799751.2909999
82.9921460151672	250405939.99925	19999999.593	39693283.7600001
83.9905481338501	250405940	19999999.8480001	39585408.428
84.9889500141144	250405939.9995	20000000.48	39476351.207
85.9873509407043	250405940.00025	19999999.874	39360808.117
87.0013530254364	250405939.99975	19999999.895	39247568.0289999
87.9997549057007	250405940.00075	19999998.34	39133489.294
88.9981570243835	250405939.999	20000002.554	39019801.854
89.9965579509735	250405940.00075	19999998.5239999	38916243.0890001
