#Menlo Systems GmbH 2009 - Comb Watch v0.9.6
#Measurement from 27.4.2021.
#Begin of the measurement: 18:17:43, 65863 sec after midnight.
#Add 806253463 to get the time since 0:00 of 10th Oct. 1995 = MJD 50000 in seconds.
#
#C0:	timestamp
#C1:	reprate.freq	The actual repetition rate of the comb (calculated from counter0)	Hz
#C2:	offset.freq	Offset beat frequency (see counter1)	Hz	20000000	10
#C3:	counter2.freq	Counter channel 2 frequency	Hz
#C4:	counter2.signal	Signal strength of counter channel 2 input	V
#
#S0:	4
#Statistics settings
#S1:	249431601	0.005
#S2:	20000000	10
#S3:	#
#S4:	#
#
#timestamp	#reprate.freq	#offset.freq	#counter2.freq	#counter2.signal
0	249431601.00025	20000001.935	21748397.291	0.435181
0.998402118682861	249431600.99975	19999998.402	21756665.543	0.441895
1.99680399894714	249431601.00025	19999999.791	21755246.67	0.439453
2.99520611763	249431601.00075	20000000.249	21734823.6980001	0.440064
3.99360704421997	249431600.999	20000000.699	21705474.2589999	0.445557
4.99200892448425	249431600.99975	20000000.753	21724603.141	0.440674
5.99041104316711	249431601.00025	20000000.358	21755218.946	0.444336
6.9888129234314	249431600.9995	19999999.977	21790461.485	0.438843
7.98721408843994	249431601.00025	20000000.438	21784469.017	0.447998
8.98561596870422	249431601.0005	19999999.8770001	21760156.5780001	0.441284
9.99961805343628	249431600.9995	19999999.987	21762035.068	0.447998
10.9980199337006	249431601.00075	19999999.84	21752374.503	0.441284
11.9964210987091	249431600.99975	20000001.0669999	21714107.275	0.441284
12.9948229789734	249431600.99975	19999999.319	21752242.138	0.441895
13.9932250976563	249431601	19999999.845	21754088.85	0.438843
14.9916269779205	249431601.0005	19999999.304	21780630.636	0.443726
15.9900281429291	249431600.9995	20000001.9579999	21764966.002	0.440674
16.9884300231934	249431600.9995	20000000.5930001	21795042.041	0.438843
17.9868321418762	249431601.0005	19999999.559	21804519.699	0.440064
18.9852340221405	249431600.99975	20000000.0779999	21780277.756	0.443726
19.9992361068726	249431601.00075	20000001.16	21787667.279	0.440064
20.9976370334625	249431600.99925	20000000.1340001	21770072.69	0.439453
21.9960389137268	249431601.00075	20000001.647	21744166.632	0.438232
22.9944410324097	249431600.99975	19999999.574	21744691.851	0.444946
23.9928431510925	249431601	20000001.695	21748297.476	0.441895
24.9912440776825	249431600.99975	19999999.992	21757410.772	0.445557
25.9896459579468	249431601.00025	20000000.765	21753496.238	0.435181
26.9880480766296	249431601	19999999.934	21778452.238	0.443115
27.9864499568939	249431600.99975	19999999.637	21756108.962	0.441284
29.0004510879517	249431601	20000001.628	21776603.966	0.443726
29.9988529682159	249431601	19999999.027	21761250.602	0.443115
30.9972550868988	249431601.00075	20000000.2420001	21784431.924	0.440674
31.9956569671631	249431600.99975	20000001.941	21751054.156	0.435181
32.9940581321716	249431601	20000000.7459999	21783544.52	0.437622
33.9924600124359	249431601	19999999.291	21800759.731	0.444336
34.9908621311188	249431600.9995	19999999.205	21787867.8750001	0.440064
35.9892640113831	249431601	20000000.844	21790575.92	0.442505
36.987664937973	249431601.0005	19999999.999	21779390.969	0.440674
37.9860670566559	249431601	19999999.023	21741219.589	0.442505
39.0000691413879	249431600.99975	20000002.258	21726329.757	0.442505
39.9984710216522	249431601	20000000.609	21757410.2750001	0.441895
40.9968719482422	249431601	20000002.676	21760375.829	0.441284
41.995274066925	249431600.99975	20000000.265	21771071.145	0.439453
42.9936759471893	249431600.9995	20000000.063	21767993.658	0.437622
43.9920780658722	249431601.0005	20000001.44	21803964.01	0.441284
44.9904789924622	249431601.00025	19999999.748	21769197.4220001	0.440674
45.988881111145	249431601.00025	20000000.221	21717585.821	0.440674
46.9872829914093	249431600.99875	19999999.884	21759421.7969999	0.440064
47.9856851100922	249431601.0015	19999999.41	21798303.099	0.438843
48.9996860027313	249431600.9995	20000000.156	21765834.9230001	0.446167
49.9980881214142	249431600.99975	19999999.858	21758767.831	0.439453
50.9964900016785	249431600.99975	20000002.263	21775136.944	0.437622
51.9948921203613	249431601.0005	20000000.445	21721254.744	0.437012
52.9932930469513	249431600.99925	20000000.16	21729186.895	0.446167
53.9916949272156	249431601.00025	20000000.676	21707572.7980001	0.445557
54.9900970458984	249431601.00075	19999999.995	21759463.038	0.443115
55.9884989261627	249431600.99975	20000000.542	21708544.934	0.447998
56.9869000911713	249431600.9995	19999999.961	21701992.4649999	0.437012
58.0009019374847	249431601	20000001.659	21728850.758	0.443115
58.9993040561676	249431601.00025	19999999.041	21753507.9990001	0.446777
59.9977059364319	249431601.00025	20000001.2920001	21717526.513	0.443726
60.9961080551147	249431600.9995	20000002.0339999	21735697.184	0.441895
61.9945089817047	249431601.00025	19999999.1900001	21746385.888	0.440674
62.9929111003876	249431601.00025	19999999.975	21743880.413	0.442505
63.9913129806519	249431600.99925	20000002.6379999	21741016.263	0.441895
64.9897150993347	249431601.00075	20000000.5450001	21732529.658	0.444336
65.9881160259247	249431601	19999999.2869999	21729000.925	0.440064
66.9865181446075	249431600.99975	20000002.0300001	21760163.267	0.440674
68.000519990921	249431601.00025	20000000.4799999	21713784.98	0.442505
68.9989221096039	249431601.0005	19999998.811	21722901.906	0.442505
69.9973230361938	249431600.999	19999999.904	21783693.607	0.439453
70.9957249164581	249431601.00025	20000001.1290001	21738853.924	0.443115
71.994127035141	249431601.0005	20000000.3659999	21764122.246	0.439453
72.9925289154053	249431600.99975	20000000.76	21742863.342	0.444946
73.9909300804138	249431600.99925	20000000.4760001	21788176.536	0.441895
74.9893319606781	249431601.001	20000000.0359999	21763137.109	0.440064
