#Menlo Systems GmbH 2009 - Comb Watch v0.9.6
#Measurement from 15.2.2021.
#Begin of the measurement: 14:05:18, 50718 sec after midnight.
#Add 800103918 to get the time since 0:00 of 10th Oct. 1995 = MJD 50000 in seconds.
#
#C0:    timestamp
#C1:    reprate.freq    The actual repetition rate of the comb (calculated from counter0)   Hz
#C2:    offset.freq Offset beat frequency (see counter1)    Hz  20000000    10
#
#S0:    4
#Statistics settings
#S1:    250003641.5 0.005
#S2:    20000000    10
#
#timestamp  #reprate.freq   #offset.freq
0.998400926589966   250003641.501   19999999.4960001
1.99680280685425    250003641.4995  19999998.885
3.0108048915863 250003641.50025 19999998.4909999
4.00920701026917    250003641.49975 20000001.761
5.00760793685913    250003641.50025 20000000.507
6.00600981712341    250003641.4995  19999998.334
7.00441193580627    250003641.5 20000001.827
8.00281381607056    250003641.5 19999999.997
9.0012149810791 250003641.5005  20000000.2900001
9.99961686134338    250003641.4995  19999997.9
10.9980189800262    250003641.5005  20000000.874
11.9964208602905    250003641.5 19999999.931
13.0104219913483    250003641.5 20000001.0780001
14.0088238716125    250003641.49975 19999998.785
15.0072259902954    250003641.4995  19999999.954
16.0056278705597    250003641.50025 20000001.167
17.0040290355682    250003641.49975 19999999.752
18.0024309158325    250003641.501   19999997.585
19.0008330345154    250003641.4995  20000000.695
19.9992349147797    250003641.5005  20000001.265
20.9976358413696    250003641.49925 19999999.074
22.0116379261017    250003641.5015  19999999.283
23.010039806366 250003641.4995  20000001.382
24.0084419250488    250003641.4995  19999998.022
25.0068440437317    250003641.49925 20000001.469
26.0052449703217    250003641.50025 19999999.97
27.0036468505859    250003641.50025 19999999.413
28.0020489692688    250003641.49975 20000000.09
29.0004508495331    250003641.50075 20000001.965
29.9988520145416    250003641.49925 19999998.049
30.9972538948059    250003641.5005  19999999.623
32.011255979538 250003641.5 20000000.385
33.0096578598022    250003641.4995  20000002.141
34.0080590248108    250003641.501   19999999.764
35.0064609050751    250003641.49925 19999998.592
36.0048630237579    250003641.5 19999999.995
37.0032649040222    250003641.5005  20000000.0520001
38.0016658306122    250003641.4995  20000000.046
39.000067949295 250003641.49975 20000000.6619999
39.9984698295593    250003641.5 19999998.6760001
40.9968719482422    250003641.50125 20000000.92
42.0108728408813    250003641.49925 20000000.173
43.0092749595642    250003641.4995  19999999.4449999
44.0076768398285    250003641.5005  19999999.8230001
45.0060789585114    250003641.49925 20000000.66
46.0044798851013    250003641.5 19999999.3480001
47.0028820037842    250003641.50125 20000000.1309999
48.0012838840485    250003641.49925 20000000.406
48.9996860027313    250003641.50025 20000000.124
49.9980869293213    250003641.49975 19999998.169
50.9964888095856    250003641.5 20000000.6370001
52.0104908943176    250003641.49975 20000000.773
53.0088930130005    250003641.50075 20000000.0689999
54.0072939395905    250003641.49975 20000000.271
55.0056958198547    250003641.49975 19999997.867
56.0040979385376    250003641.5 20000003.5580001
57.0024998188019    250003641.50025 19999999.0519999
58.0009009838104    250003641.49975 20000000.978
58.9993028640747    250003641.5 19999998.551
59.9977049827576    250003641.50025 20000000.2589999
61.011706829071 250003641.50025 19999999.733
62.0101079940796    250003641.499   20000000.545
63.0085098743439    250003641.50075 20000000.3080001
64.0069119930267    250003641.5 19999999.6109999
65.005313873291 250003641.4995  19999999.648
66.0037159919739    250003641.5005  20000001.615
67.0021169185638    250003641.49925 19999997.653
68.0005190372467    250003641.5005  20000001.661
69.0145208835602    250003641.5 19999999.39
69.9973230361938    250003641.50025 19999999.013
71.011323928833 250003641.4995  19999999.778
72.0097258090973    250003641.50025 20000000.111
73.0081279277802    250003641.501   20000000.969
74.0065298080444    250003641.499   19999999.463
75.004930973053 250003641.50025 20000001.734
76.0033328533173    250003641.50025 19999998.483
77.0017349720001    250003641.49925 20000000.508
78.0001368522644    250003641.5005  19999999.891
78.9985380172729    250003641.5 20000000.1
79.9969398975372    250003641.49925 20000000.402
81.0109419822693    250003641.5005  19999999.795
82.0093438625336    250003641.50025 19999999.558
83.0077450275421    250003641.4995  19999999.274
84.0061469078064    250003641.5005  20000000.826
85.0045490264893    250003641.49925 19999999.256
86.0029509067535    250003641.50025 19999999.991
87.0013518333435    250003641.5 20000000.146
87.9997539520264    250003641.5005  20000000.576
88.9981558322906    250003641.4995  20000000.73
90.0121579170227    250003641.5 19999997.952
91.0105588436127    250003641.50125 20000001.215
92.0089609622955    250003641.49925 19999999.838
93.0073628425598    250003641.4995  20000001.083
94.0057649612427    250003641.5005  19999999.401
95.0041658878326    250003641.499   19999998.9310001
96.0025680065155    250003641.5015  20000001.318
97.0009698867798    250003641.49975 19999998.709
97.9993720054626    250003641.50025 19999999.671
98.9977729320526    250003641.49925 20000000.397
100.011775016785    250003641.49975 20000000.268
101.010176897049    250003641.4995  19999999.38
102.008579015732    250003641.501   20000000.3180001
103.006980895996    250003641.49925 20000000.68
104.005381822586    250003641.50075 19999999.7670001
105.003783941269    250003641.49975 20000000.671
106.002185821533    250003641.5 19999998.3189999
107.000587940216    250003641.4995  20000001.2310001
107.998988866806    250003641.50075 20000000.4270001
108.997390985489    250003641.49925 19999999.1819999
110.011392831802    250003641.5 20000000.184
111.009794950485    250003641.50075 20000000.761
112.008195877075    250003641.4995  19999999.382
113.006597995758    250003641.5 19999998.827
114.004999876022    250003641.5005  20000002.852
115.003401994705    250003641.4995  20000000.005
116.001802921295    250003641.5005  19999999.2919999
117.000205039978    250003641.4995  19999999.1700001
117.998606920242    250003641.5005  19999999.781
119.012609004974    250003641.4995  20000001.324
120.011009931564    250003641.50025 19999998.7249999
