#Menlo Systems GmbH 2009 - Comb Watch v0.9.6
#Measurement from 17.5.2021.
#Begin of the measurement: 13:14:33, 47673 sec after midnight.
#Add 807963273 to get the time since 0:00 of 10th Oct. 1995 = MJD 50000 in seconds.
#
#C0:	timestamp
#C1:	reprate.freq	The actual repetition rate of the comb (calculated from counter0)	Hz
#C2:	offset.freq	Offset beat frequency (see counter1)	Hz	20000000	10
#
#S0:	4
#Statistics settings
#S1:	250010578	0.005
#S2:	20000000	10
#
#timestamp	#reprate.freq	#offset.freq
0	250010578.0005	20852319.45
0.998401880264282	250010578.00025	20852052.64
1.99680280685425	250010577.9995	20480948.98
3.0108048915863	250010577.9995	20427057.353
4.00920701026917	250010578.00075	20713233.706
5.00760889053345	250010577.99975	20743363.758
6.00600981712341	250010578	20726125.286
7.00441193580627	250010577.99925	20719772.754
8.00281381607056	250010578.001	20682986.251
9.00121593475342	250010578.0005	20580925.045
9.99961686134338	250010577.99925	20485821.901
10.9980189800262	250010577.99975	20422607.044
11.9964208602905	250010578.00025	20373770.981
13.0104229450226	250010577.9995	20372544.853
14.0088238716125	250010578.00075	20398746.085
15.0072259902954	250010578	20373327.024
16.0056278705597	250010578	20420924.976
17.0040299892426	250010577.99975	20361493.994
18.0024309158325	250010578	20395359
19.0008327960968	250010578.00025	20421563.861
19.9992349147797	250010577.9995	20410894.188
20.9976367950439	250010578.0005	20359959.87
22.0116379261017	250010577.999	20382454.243
23.010039806366	250010578.001	20371685.799
24.0084419250488	250010578	20434481.0860001
25.0068438053131	250010577.9995	20378722.041
26.0052449703217	250010578.00025	20419426.005
27.0036468505859	250010577.99975	20387967.0089999
28.0020489692688	250010577.99975	20351627.0880001
29.0004508495331	250010578.00025	20287339.8959999
29.998851776123	250010578.0005	20212089.9020001
30.9972538948059	250010578.0005	20161380.196
32.011255979538	250010577.99975	20143713.794
33.0096578598022	250010578.0005	20115174.135
34.0080599784851	250010577.99825	20088850.989
35.0064609050751	250010578.0005	20087442.011
36.0048627853394	250010578.0005	20084313.998
37.0032649040222	250010577.9995	20084293.9
38.0016667842865	250010578.0005	20091110.076
39.000067949295	250010578	20085996.02
39.9984698295593	250010578.00025	20139667.947
40.9968719482422	250010577.999	20255015.936
42.0108737945557	250010578.00025	20155051.0829999
43.0092749595642	250010578.0005	20153581.9640001
44.0076768398285	250010577.99975	20179298.0039999
45.0060789585114	250010578.00075	20159646.066
46.0044808387756	250010577.99925	20135256.003
47.0028820037842	250010578	20126616.798
48.0012838840485	250010578	20164602.152
48.9996860027313	250010577.99975	20137679.074
49.9980878829956	250010578.00025	20107655.916
51.0120887756348	250010578	20105491.025
52.0104908943176	250010578.0005	20076001.909
53.0088927745819	250010577.9995	20054858.088
54.0072948932648	250010578	20051097.982
55.0056958198547	250010578.00075	20040740.056
56.0040979385376	250010577.9985	20041504.919
57.0024998188019	250010578.0005	20038153.17
58.0009019374847	250010577.9995	20035322.864
58.9993028640747	250010578.0005	20045671.963
59.9977049827576	250010578.001	20054619.075
61.011706829071	250010577.999	20047268.938
62.0101089477539	250010578.00025	20051435.98
63.0085098743439	250010578.00025	20141973.074
64.0069119930267	250010577.99975	20034798.833
65.005313873291	250010578.00025	20135493.091
66.0037159919739	250010577.99925	20146517.032
67.0021169185638	250010578.0005	20171246.016
68.0005187988281	250010577.99975	20126194.02
68.998920917511	250010578	20116855.012
69.9973227977753	250010578	20087312.901
71.0113248825073	250010578.00025	20104251.049
72.0097258090973	250010578	20088960.017
73.0081279277802	250010578	20077112.964
74.0065298080444	250010577.99975	20090531.979
75.0049319267273	250010578.00025	20067065.182
76.0033328533173	250010577.99975	20042939.901
77.0017349720001	250010578.00025	20042573.0289999
78.0001368522644	250010577.99975	20025884.903
78.9985389709473	250010577.99925	20024609.0480001
80.0125398635864	250010578.00075	20023592.005
81.0109419822693	250010578.00025	20019699.987
82.0093438625336	250010577.99975	20020582.957
83.0077459812164	250010578.00025	20019497.061
84.0061469078064	250010578	20019702.9219999
85.0045487880707	250010578	20020956.1160001
86.0029509067535	250010578	20020541.919
87.0013527870178	250010577.99925	20075224.976
87.9997539520264	250010578.00025	20094640.11
88.9981558322906	250010577.99975	20050182.9449999
90.0121579170227	250010578.001	20021833.0550001
91.010559797287	250010578.00025	20026955.0009999
92.0089609622955	250010577.999	20024214.9640001
93.0073628425598	250010578.00075	20017678.0969999
94.0057649612427	250010578	20023070.955
95.004166841507	250010577.9995	20024735.993
96.0025680065155	250010578.0005	20028932.877
97.0009698867798	250010578	20051147.054
97.9993720054626	250010577.99875	20029396.974
98.9977738857269	250010578.00075	20028605.881
100.011774778366	250010578	20024427.0059999
101.010176897049	250010578	20022217.105
102.008578777313	250010578.0005	20017292.087
103.006980895996	250010577.99925	20014811.893
104.005381822586	250010578.0005	20012043.079
105.003783941269	250010578	20009524.994
106.002185821533	250010578	20009948.995
107.000587940216	250010577.9995	20009593.016
107.998988866806	250010578.0005	20008283.925
109.012990951538	250010577.99975	20011199.019
110.011392831802	250010577.99975	20009162.963
111.009794950485	250010578.00075	20008571.061
112.00819683075	250010577.99975	20010073.049
113.006597995758	250010578.00025	20010244.073
114.004999876022	250010577.9995	20011526.84
115.003401994705	250010577.99975	20017641.043
116.001803874969	250010578	20033537.977
117.000204801559	250010578.001	20064445.959
117.998606920242	250010577.999	20086264.098
119.012609004974	250010578.0005	20044247.935
120.011010885239	250010578	20021359.905
121.009411811829	250010578	20032722.104
122.007813930511	250010578.0005	20032019.001
123.006215810776	250010578	20034877.07
124.004617929459	250010577.999	20041430.993
