#Menlo Systems GmbH 2009 - Comb Watch v0.9.6
#Measurement from 12.4.2021.
#Begin of the measurement: 18:17:02, 65822 sec after midnight.
#Add 804957422 to get the time since 0:00 of 10th Oct. 1995 = MJD 50000 in seconds.
#
#C0:	timestamp
#C1:	reprate.freq	The actual repetition rate of the comb (calculated from counter0)	Hz
#C2:	offset.freq	Offset beat frequency (see counter1)	Hz	20000000	10
#C3:	counter2.freq	Counter channel 2 frequency	Hz
#
#S0:	4
#Statistics settings
#S1:	250244405.5	0.005
#S2:	20000000	10
#S3:	19086119.3	1983.58	21	474000000000000
#
#timestamp	#reprate.freq	#offset.freq	#counter2.freq
0.998402118682861	250244405.5	20000001.921	19069115.455
1.99680399894714	250244405.5	20000005.118	19071887.646
2.99520492553711	250244405.50075	20000000.812	19070185.955
3.99360704421997	250244405.49925	20000001.164	19065823.496
4.99200892448425	250244405.5005	20000000.901	19062490.244
5.99041104316711	250244405.50025	20000002.944	19062844.609
6.98881196975708	250244405.499	20000004.948	19064375.83
8.00281405448914	250244405.50025	20000003.127	19068317.925
9.00121593475342	250244405.50025	20000003.92	19063538.2639999
9.99961805343628	250244405.4995	20000002.3369999	19069010.1550001
10.9980189800262	250244405.5	20000007.935	19066725.7889999
11.9964210987091	250244405.50025	20000003.449	19072199.8720001
12.9948229789734	250244405.50025	20000004.587	19072175.0419999
13.9932250976563	250244405.5005	20000001.404	19071777.523
14.9916260242462	250244405.49925	20000003.559	19073478.75
15.9900281429291	250244405.50075	20000003.073	19073209.541
16.9884300231934	250244405.499	20000003.8020001	19077503.6569999
18.0024321079254	250244405.50025	20000004.105	19082969.9510001
19.0008330345154	250244405.49975	20000002.836	19085810.566
19.9992349147797	250244405.50075	19999999.6880001	19088451.222
20.9976370334625	250244405.499	20000002.5519999	19082236.421
21.9960389137268	250244405.50075	20000004.771	19085448.5999999
22.9944400787354	250244405.501	20000006.268	19086574.1650001
23.9928419589996	250244405.49875	19999999.864	19086182.6849999
24.9912440776825	250244405.5005	20000003.036	19078234.6420001
25.9896459579468	250244405.49975	20000003.115	19081114.568
27.0036480426788	250244405.499	20000002.673	19076448.849
28.0020489692688	250244405.501	20000003.789	19071166.284
29.0004510879517	250244405.49975	20000005.2079999	19073532.693
29.9988529682159	250244405.5005	20000006.225	19074453.784
30.9972550868988	250244405.5005	20000004.416	19072642.184
31.9956560134888	250244405.49925	20000002.3330001	19071827.433
32.9940581321716	250244405.5	20000003.283	19076522.635
33.9924600124359	250244405.49975	20000006.502	19075715.859
34.9908621311188	250244405.5	20000001.204	19080976.742
35.9892630577087	250244405.501	20000003.975	19077144.8360001
37.0032651424408	250244405.49875	20000004.601	19076357.903
38.0016670227051	250244405.50025	20000001.0090001	19081169.101
39.0000691413879	250244405.50075	20000006.308	19079217.915
39.9984700679779	250244405.4995	20000006.693	19079025.189
40.9968719482422	250244405.5005	20000001.804	19079088.861
41.995274066925	250244405.499	20000004.385	19078400.478
42.9936759471893	250244405.50025	20000001.939	19082608.545
43.9920771121979	250244405.5	20000002.723	19076746.445
44.9904789924622	250244405.501	20000002.883	19077238.002
45.988881111145	250244405.49975	20000002.083	19077436.457
47.0028829574585	250244405.4995	20000003.062	19072350.134
48.001284122467	250244405.50025	20000001.555	19080103.877
48.9996860027313	250244405.50025	20000003.578	19076091.772
49.9980881214142	250244405.4995	19999998.612	19072841.873
50.9964900016785	250244405.49925	20000003.009	19078962.441
51.9948909282684	250244405.50075	20000002.972	19074601.058
52.9932930469513	250244405.499	20000003.95	19074078.77
53.9916949272156	250244405.501	20000005.004	19073953.351
54.9900970458984	250244405.49975	20000005.034	19070597.676
56.0040979385376	250244405.5	20000005.59	19067936.713
57.0025000572205	250244405.5	20000000.189	19068680.099
58.0009019374847	250244405.5	20000004.493	19071671.815
58.9993040561676	250244405.5005	20000002.464	19069481.126
59.9977049827576	250244405.4995	20000002.571	19072053.815
60.9961071014404	250244405.50025	20000003.019	19068269.173
61.9945089817047	250244405.49975	20000005.096	19063883.307
62.9929111003876	250244405.50025	20000005.51	19061499.791
63.9913129806519	250244405.5	20000001.022	19057061.2880001
64.9897141456604	250244405.5	20000001.271	19059717.635
66.0037159919739	250244405.5	20000004.717	19067365.0209999
67.0021181106567	250244405.5	20000002.292	19069652.988
68.000519990921	250244405.50025	20000005.413	19071765.534
68.998920917511	250244405.50025	19999999.7999999	19071758.906
69.9973230361938	250244405.4995	20000003.649	19071742.7069999
70.9957249164581	250244405.5	20000005.7130001	19067709.2510001
71.994127035141	250244405.5	20000001.4449999	19065733.985
72.992527961731	250244405.5	20000004.637	19067203.036
73.9909300804138	250244405.5	20000003.9990001	19068896.903
74.9893319606781	250244405.49975	20000003.7409999	19070191.008
76.0033340454102	250244405.5005	20000003.3590001	19066417.966
77.0017349720001	250244405.5	20000002.397	19063976.704
78.000137090683	250244405.5	20000000.64	19068037.617
78.9985389709473	250244405.4995	20000002.293	19068699.283
79.9969410896301	250244405.50025	20000003.169	19062767.253
80.9953420162201	250244405.50025	20000001.087	19069271.364
81.993744134903	250244405.49975	20000001.7409999	19071664.6170001
82.9921460151672	250244405.50025	20000002.5710001	19073307.5439999
83.9905481338501	250244405.4995	20000002.0649999	19072090.072
85.0045490264893	250244405.5	20000000.943	19077020.801
86.0029511451721	250244405.49975	20000003.7930001	19074050.404
87.0013530254364	250244405.50125	20000000.25	19066397.2689999
87.9997551441193	250244405.499	20000000.826	19065955.1500001
88.9981560707092	250244405.50025	20000004.999	19067123.357
89.9965579509735	250244405.5005	20000004.569	19065440.334
