Generated by TimeView III
Date:;Tue Apr 20 14:48:18 2021Instrument:;PENDULUM, CNT-91, 232653, V1.28 25 Aug 2010 11:52
Data:;Frequency BtB

0; 250000000.412535;
0.100000799976; 250000000.06;
0.20000159181; 250000000.414997;
0.300002391375; 250000001.087491;
0.400003191229; 250000000.364997;
0.500003983183; 250000000.114999;
0.600004782965; 250000000.544996;
0.700005582928; 250000000.092499;
0.800006374846; 250000000.204998;
0.900007174641; 250000000.512496;
1.000007974483; 250000000.394997;
1.100008766462; 250000000.0525;
1.200009566246; 250000000.539996;
1.300010366267; 249999999.9475;
1.400011158064; 250000000.507496;
1.500011957956; 250000000.269998;
1.60001275781; 250000000.364997;
1.700013549814; 249999999.99;
1.800014349646; 250000000.419997;
1.900015149453; 250000000.482496;
2.000015941289; 250000000.409997;
2.100016741058; 250000000.577495;
2.200017533021; 250000000.092499;
2.300018332948; 250000000.182499;
2.400019132928; 250000000.05;
2.500019924859; 250000000.172499;
2.600020724562; 250000000.742494;
2.700021524477; 250000000.212498;
2.800022316387; 250000000.224998;
2.900023116241; 250000000.364997;
3.000023916098; 250000000.357497;
3.100024708083; 250000000.0375;
3.200025507828; 250000000.637495;
3.300026307755; 250000000.182499;
3.400027099737; 250000000.045;
3.500027899522; 250000000.537496;
3.600028699346; 250000000.439996;
3.700029491204; 250000000.354997;
3.800030291211; 249999999.9825;
3.900031083064; 250000000.367497;
4.000031882856; 250000000.519996;
4.100032682819; 250000000.092499;
4.200033474593; 250000000.564996;
4.300034274562; 250000000.077499;
4.400035074434; 250000000.319997;
4.500035866314; 250000000.299998;
4.600036666171; 250000000.357497;
4.700037465998; 250000000.432497;
4.800038258046; 249999999.880001;
4.900039057847; 250000000.497496;
5.000039857755; 250000000.229998;
5.100040649595; 250000000.399997;
5.200041449395; 250000000.499996;
5.300042241254; 250000000.352497;
5.400043041283; 249999999.927501;
5.50004384107; 250000000.532496;
5.600044632992; 250000000.194998;
5.700045432782; 250000000.524996;
5.800046232664; 250000000.294998;
5.90004702458; 250000000.209998;
6.000047824544; 250000000.089999;
6.100048624246; 250000000.744994;
6.200049416301; 249999999.862501;
6.30005021608; 250000000.552496;
6.400051008029; 250000000.127499;
6.500051807956; 250000000.182499;
6.600052607719; 250000000.592495;
6.700053399483; 250000000.589995;
6.800054199577; 249999999.765002;
6.900054999307; 250000000.674995;
7.000055791246; 250000000.152499;
7.100056591187; 250000000.147499;
7.200057383001; 250000000.464996;
7.300058182928; 250000000.182499;
7.400058982737; 250000000.477496;
7.50005977469; 250000000.117499;
7.600060574635; 250000000.137499;
7.700061366517; 250000000.294998;
7.800062166332; 250000000.462496;
7.900062966158; 250000000.434997;
8.000063758136; 250000000.055;
8.10006455792; 250000000.539996;
8.200065357828; 250000000.229998;
8.300066149741; 250000000.217498;
8.400066949577; 250000000.409997;
8.500067741503; 250000000.184999;
8.600068541283; 250000000.549996;
8.70006934121; 250000000.182499;
8.800070133019; 250000000.477496;
8.900070932974; 250000000.112499;
9.000071732764; 250000000.524996;
9.100072524635; 250000000.322497;
9.200073324604; 250000000.077499;
9.300074116572; 250000000.079999;
9.40007491628; 250000000.729994;
9.500075716225; 250000000.137499;
9.600076508137; 250000000.219998;
9.700077307883; 250000000.634995;
9.800078107792; 250000000.227498;
9.90007889977; 250000000.055;
10.00007969961; 250000000.399997;
10.100080491551; 250000000.147499;
10.200081291467; 250000000.209998;
10.300082091321; 250000000.364997;
10.400082883029; 250000000.729994;
10.500083683047; 249999999.955;
10.600084482948; 250000000.247498;
10.700085274757; 250000000.477496;
10.800086074677; 250000000.199998;
10.900086866627; 250000000.124999;
11.00008766628; 250000000.867493;
11.100088466264; 250000000.04;
11.200089258173; 250000000.227498;
11.300090057993; 250000000.449996;
11.400090857956; 250000000.092499;
11.500091649868; 250000000.219998;
11.600092449723; 250000000.362497;
11.700093241569; 250000000.384997;
11.800094041446; 250000000.307498;
11.900094841362; 250000000.209998;
12.000095633149; 250000000.532496;
12.10009643312; 250000000.072499;
12.200097224987; 250000000.332497;
12.300098024891; 250000000.239998;
12.400098824695; 250000000.489996;
12.500099616682; 250000000.0325;
12.600100416458; 250000000.559996;
12.700101208464; 249999999.985;
12.800102008338; 250000000.314997;
12.900102808066; 250000000.679995;
13.00010360001; 250000000.139999;
13.100104399737; 250000000.682495;
13.200105191796; 249999999.852501;
13.300105991624; 250000000.429997;
13.40010679146; 250000000.409997;
13.500107583431; 250000000.072499;
13.600108383283; 250000000.369997;
13.70010917521; 250000000.182499;
13.800109974945; 250000000.662495;
13.900110774893; 250000000.129999;
14.0001115669; 249999999.9825;
14.100112366705; 250000000.487496;
14.200113158558; 250000000.367497;
14.300113958448; 250000000.274998;
14.400114758246; 250000000.504996;
14.500115550228; 250000000.045;
14.600116350101; 250000000.317497;
14.700117141883; 250000000.544996;
14.800117941846; 250000000.092499;
14.900118741653; 250000000.482496;
15.000119533566; 250000000.217498;
15.100120333405; 250000000.402497;
15.200121125255; 250000000.374997;
15.300121925183; 250000000.179999;
15.400122725128; 250000000.137499;
15.500123516955; 250000000.432497;
15.600124316753; 250000000.504996;
15.700125108704; 250000000.122499;
15.800125908668; 250000000.089999;
15.900126708449; 250000000.547496;
16.000127500246; 250000000.507496;
16.100128300237; 250000000.0225;
16.200129092163; 250000000.184999;
16.300129892041; 250000000.304998;
16.40013068385; 250000000.477496;
16.500131483825; 250000000.062499;
16.600132283657; 250000000.419997;
16.700133075424; 250000000.582495;
16.800133875369; 250000000.137499;
16.900134667282; 250000000.217498;
17.00013546721; 250000000.179999;
17.100136267082; 250000000.319997;
17.200137058955; 250000000.317497;
17.300137858777; 250000000.444996;
17.400138650652; 250000000.312498;
17.500139450524; 250000000.319997;
17.600140242346; 250000000.444996;
17.700141042291; 250000000.137499;
17.800141842127; 250000000.409997;
17.900142634033; 250000000.234998;
18.000143433796; 250000000.592495;
18.10014422577; 250000000.064999;
18.200145025661; 250000000.272498;
18.300145817556; 250000000.262498;
18.400146617302; 250000000.634995;
18.500147417246; 250000000.139999;
18.600148209231; 250000000.0375;
18.700149009012; 250000000.547496;
18.800149800918; 250000000.234998;
18.900150600839; 250000000.197498;
19.000151392719; 250000000.299998;
19.100152192519; 250000000.499996;
19.200152992344; 250000000.437497;
19.300153784398; 249999999.865001;
19.400154584222; 250000000.439996;
19.500155376013; 250000000.522496;
19.600156175989; 250000000.06;
19.70015696781; 250000000.447496;
19.800157767683; 250000000.317497;
19.900158567593; 250000000.224998;
20.000159359516; 250000000.192498;
20.100160159407; 250000000.272498;
20.200160951264; 250000000.357497;
20.300161751004; 250000000.649995;
20.40016254292; 250000000.209998;
20.500163342819; 250000000.252498;
20.60016414271; 250000000.272498;
20.700164934611; 250000000.247498;
20.800165734447; 250000000.409997;
20.900166526371; 250000000.189999;
21.000167326314; 250000000.142499;
21.100168118193; 250000000.302498;
21.200168917974; 250000000.547496;
21.300169709818; 250000000.389997;
21.400170509781; 250000000.092499;
21.500171301569; 250000000.529996;
21.600172101508; 250000000.152499;
21.700172893504; 250000000.01;
21.800173693218; 250000000.714994;
